mnum,name,sido,sigg,dyear,dnum,lat,lng
15000005115019870374UMI1000000009,상수원보호구역,강원특별자치도,강릉시,1987,0374,37.6072876,129.0361014
15000005115000000000UMI1000000004,상수원보호구역,강원특별자치도,강릉시,0000,0000,37.6173271,128.9903933
15000005115000000000UMI1000000003,상수원보호구역,강원특별자치도,강릉시,0000,0000,37.6898788,128.8188956
15000005115000000000UMI1000000001,상수원보호구역,강원특별자치도,강릉시,0000,0000,37.8489722,128.7947202
15000005182000000000UMI1000000004,상수원보호구역,강원특별자치도,고성군,0000,0000,38.289202,128.5251336
15000005182000000000UMI1000000003,상수원보호구역,강원특별자치도,고성군,0000,0000,38.3776853,128.4447123
15000005182000000000UMI1000000001,상수원보호구역,강원특별자치도,고성군,0000,0000,38.5236568,128.4003447
15000005117000000000UMI1000000001,상수원보호구역,강원특별자치도,동해시,0000,0000,37.516289,129.0182857
15000005117000000000UMI1000000002,상수원보호구역,강원특별자치도,동해시,0000,0000,37.4815018,129.0899035
15000005123000000000UMI1000000002,상수원보호구역,강원특별자치도,삼척시,0000,0000,37.3398834,128.9634754
15000005123000000000UMI1000000001,상수원보호구역,강원특별자치도,삼척시,0000,0000,37.4320875,129.1271424
15000005123000000000UMI1000000010,상수원보호구역,강원특별자치도,삼척시,0000,0000,37.1905415,129.3084018
15000005123000000000UMI1000000004,상수원보호구역,강원특별자치도,삼척시,0000,0000,37.3221979,129.2082393
15000005123000000000UMI1000000007,상수원보호구역,강원특별자치도,삼척시,0000,0000,37.2732723,129.0770734
42300005121020200019UMI1000001001,상수원보호구역,강원특별자치도,속초시,2020,0019,38.1681302,128.5216323
15000005121000000000UMI1000000001,상수원보호구역,강원특별자치도,속초시,0000,0000,38.1916179,128.4921547
15000005180000000000UMI1000000002,상수원보호구역,강원특별자치도,양구군,0000,0000,38.0951247,127.9895942
15000005183000000000UMI1000000001,상수원보호구역,강원특별자치도,양양군,0000,0000,38.1605864,128.5811953
15000005183000000000UMI1000000004,상수원보호구역,강원특별자치도,양양군,0000,0000,37.9251012,128.74282
15000005183000000000UMI1000000002,상수원보호구역,강원특별자치도,양양군,0000,0000,38.1599931,128.5969118
64200005175020080002UMI1000001001,상수원보호구역,강원특별자치도,영월군,2008,0002,37.2154456,128.3374931
